#schema: gunit book list v1 — columns are PIPE-separated (|)
#  1 title    2 author    3 status    4 md5/source    5 date    6 calibre_id|se-empty
#  status: (blank)=pending  downloaded  nomatch  failed  pdf-only  quota_blocked  tagged  queued/downloading/completed (legacy)
#  col4: Anna's md5, or se:<author>/<title> for Standard Ebooks rows
#  col6: calibre book id on DONE rows; the literal "se-empty" on quota_blocked/nomatch/pdf-only rows means SE was already searched and had nothing (skip re-search)
#  lines beginning with # are comments; "#tag: NAME[, NAME...]" sets the calibre tags for this whole list
#columns: Title | Author
#tag: BookTok



Babel: An Arcane History|R.F. Kuang|tagged||2026-06-23T02:03
Chloe Walsh|Binding 13 (Boys of Tommen, #1)|tagged||2026-06-23T13:32
The Silent Patient|Alex Michaelides|tagged|086d3ca333de4b52008b913a74bb2e36|2026-06-22T13:00|2204
Adalyn Grace|Belladonna (Belladonna, #1)|tagged||2026-06-23T13:32
The Reappearance of Rachel Price|Holly Jackson|tagged||2026-06-22T13:00
The Priory of the Orange Tree (The Roots of Chaos, #1)|Samantha Shannon|tagged|5d857705ee02892c226143c4f6811c78|2026-06-22T13:00|2190
Holly Black|The Stolen Heir (The Stolen Heir Duology, #1)|tagged|3be9f3186cf46d29997dd875307cc7b1|2026-06-23T18:15|2205
Heather Fawcett|Emily Wilde’s Encyclopaedia of Faeries (Emily Wilde #1)|tagged||2026-06-23T13:32
Marissa Meyer|Cinder (The Lunar Chronicles, #1)|tagged|03258dc40d19ee8638c8c23754c3c8d8|2026-06-23T18:16|2191
Behind Closed Doors|B.A. Paris|tagged||2026-06-23T02:05
Five Survive|Holly Jackson|tagged||2026-06-23T00:36
Danielle L. Jensen|The Bridge Kingdom (The Bridge Kingdom, #1)|tagged||2026-06-23T13:32
Crier's War (Crier's War, #1)|Nina Varela|tagged|297a41683923142a8e79fb92e8217e75|2026-06-23T00:36|2296
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch|Terry Pratchett|tagged|081c7ba6d8872f777746ab1f14f7c429|2026-06-23T01:24|515
The Starless Sea|Erin Morgenstern|tagged|18526ff19be84b4d56e867bc74c90aab|2026-06-22T13:02|2202
King of Scars (King of Scars, #1)|Leigh Bardugo|tagged||2026-06-23T00:36
Julie Kagawa|The Iron King (The Iron Fey, #1)|tagged|16fdeea6a694948c08cce48efd2c32fa|2026-06-23T18:16|2192
Erin A. Craig|House of Salt and Sorrows (Sisters of the Salt, #1)|tagged|00147a714d6d57d4dadcaaec3164fdb6|2026-06-23T18:16|2171
Furyborn (Empirium, #1)|Claire Legrand|tagged||2026-06-23T00:37
You've Reached Sam (You've Reached Sam, #1)|Dustin Thao|tagged|3232ab8dfd3591d4d155359b4fa1da62|2026-06-22T13:03|2196
Twisted Lies (Twisted, #4)|Ana Huang|tagged|06b8243b3cd3cd978192bfba8f9695bc|2026-06-22T13:03|2197
I'm Glad My Mom Died|Jennette McCurdy|tagged||2026-06-22T13:03
Ana Huang|Twisted Love (Twisted, #1)|tagged||2026-06-23T13:33
The Shadows Between Us (The Stathos Sisters, #1)|Tricia Levenseller|nomatch||2026-06-24T00:56|se-empty
Cinderella Is Dead|Kalynn Bayron|tagged|00f13973979bef4f601f17dbd643f259|2026-06-22T13:03|2193
Red Rising (Red Rising Saga, #1)|Pierce Brown|tagged|2058f173310cd18cec41412019f01c15|2026-06-22T13:03|2194
Kathryn Purdie|Bone Crier's Moon (Bone Grace, #1)|tagged||2026-06-23T18:17
Six Crimson Cranes (Six Crimson Cranes, #1)|Elizabeth Lim|tagged|0e9f6e917c112d9bf07cc2c3d7de2ab9|2026-06-22T13:03|2198
Dance of Thieves (Dance of Thieves, #1)|Mary E. Pearson|tagged||2026-06-23T00:37
The Reckoning (The Unadjusteds #3)|Marisa Noelle|tagged|4fa9d481d7e21f8ac067e6c221c7adbe|2026-06-22T13:04|2199
악역의 엔딩은 죽음뿐 1 (Villains are Destined to Die, Vol. 1)|Suol|nomatch||2026-06-23T01:51|se-empty
Smile (Smile, #1)|Raina Telgemeier|tagged|a0bcf16dabe68a4cab9086bf9ee3537f|2026-06-22T13:04|2200
Sisters (Smile, #2)|Raina Telgemeier|tagged|a0bcf16dabe68a4cab9086bf9ee3537f|2026-06-22T13:04|2200
Rachel Lynn Solomon|Today Tonight Tomorrow (Rowan & Neil, #1)|tagged|622ab4c5952115853085a6e91b64aad1|2026-06-23T18:17|2362
Who Was William Shakespeare?|Celeste Davidson Mannis|tagged||2026-06-23T01:24
The Silent Sister|Diane Chamberlain|tagged|0b1e38c13fdd7299fda50727b5f54e6d|2026-06-22T13:04|2201
Check & Mate|Ali Hazelwood|tagged||2026-06-23T01:24
The Ballad of Never After (Once Upon a Broken Heart, #2)|Stephanie Garber|tagged|010273b17461e404debbcccb65dbe0b4|2026-06-22T13:04|2206
Jennifer L. Armentrout|The Crown of Gilded Bones (Blood and Ash, #3)|tagged|09119df322c18519c9bcda7b874bb579|2026-06-23T18:17|2365
